id,product_sync_code,product_group,product_code,sku,msku,active,minimum_price,link_tiki,link_lazada,link_shopee,link_sendo
1,Linksys MR8300,LINKSYS,LINKSYS-MR8300-1,5144828033446,1850962908956,1,3515000,tiki.vn/linksys-mr8300-router-mesh-wifi-max-strem-ac2200-mu-mimo-hang-chinh-hang-p23286637.html,,,
2,Linksys RE7000,LINKSYS,LINKSYS-RE7000,9788412700640,8867217551686,1,2703000,https://tiki.vn/router-wifi-linksys-re7000w-ac1900-phat-song-bang-tan-kep-p10414694.html,,,
3,Linksys RE7000,LINKSYS,LINKSYS-RE7000,1117360113512,8867217551686,1,2703000,https://tiki.vn/router-wifi-linksys-re7000w-ac1900-phat-song-bang-tan-kep-p10414694.html,,,
4,Linksys LAPAC1750-AP,LINKSYS,LINKSYS-LAPAC1750-AP,1205515469918,7504035442017,1,5052000,https://tiki.vn/linksys-lapac1750-access-point-chuan-ac-hang-chinh-hang-p562876.html,,,
5,Linksys LAPAC1200C-AP,LINKSYS,LINKSYS-LAPAC1200C-AP,7900435125718,7507158333637,1,3864000,https://tiki.vn/linksys-lapac1200-access-point-chuan-ac-p562861.html,,,
6,Linksys LAPN600-AP,LINKSYS,LINKSYS-LAPN600-AP,2514358207793,7507698323853,1,2993000,https://tiki.vn/linksys-lapn600-access-point-chuan-n-p562843.html,,,
7,Linksys LAPN300-AP,LINKSYS,LINKSYS-LAPN300-AP,6092498130844,7509524245568,1,2492000,https://tiki.vn/linksys-lapn300-access-point-chuan-n-hang-chinh-hang-p562815.html,,,
8,Linksys LACXGLR,LINKSYS,LINKSYS-LACXGLR,7674850053917,7503999802127,0,20601000,https://tiki.vn/linksys-lacxglr-sfp-sfp-transceiver-module-p563060.html,,,
9,Linksys LACXGSR,LINKSYS,LINKSYS-LACXGSR,6269110981515,7504801656150,0,10834000,https://tiki.vn/linksys-lacxgsr-sfp-sfp-transceiver-module-p563048.html,,,
10,Linksys LACGLX,LINKSYS,LINKSYS-LACGLX,9299344385701,7500607168828,0,1567000,https://tiki.vn/linksys-lacglx-sfp-sfp-transceiver-module-p563026.html,,,
11,Linksys LACGSX,LINKSYS,LINKSYS-LACGSX,5305604577220,7501096376626,1,1304000,https://tiki.vn/linksys-lacgsx-sfp-sfp-transceiver-module-p563001.html,,,
12,Linksys LRT224-AP,LINKSYS,LINKSYS-LRT224-AP,1265038887590,7508894050482,0,3838000,https://tiki.vn/linksys-lrt224-vpn-router-p562926.html,,,
13,Linksys LGS552P-AP,LINKSYS,LINKSYS-LGS552P-AP,9420825933795,7509017433434,0,23769000,https://tiki.vn/linksys-lgs552p-managed-gigabit-switches-poe-p562749.html,,,
